Elephant,"A large herbivorous mammal with a trunk and large ears, native to parts of Africa and Asia including Indonesia"
Tiger,"A large carnivorous feline found in a variety of habitats in Asia, including the rainforests of Indonesia"
Orangutan,"An ape found in the rainforests of Borneo and Sumatra, known for their intelligence and close genetic relationship to humans"
Komodo dragon,"A large reptile native to the Indonesian island of Komodo and several nearby islands, known for their venomous bite"
Proboscis monkey,"A type of monkey found on the island of Borneo, known for their distinctive large noses and long tails"
Binturong,"A carnivorous mammal found in the rainforests of Southeast Asia, also known as the bearcat"
Clouded leopard,"A small wild cat found in the forests of Southeast Asia, including Indonesia"
Sun bear,"A small bear native to the rainforests of Southeast Asia, including parts of Indonesia"
Javan rhinoceros,"A critically endangered species of rhinoceros found in the rainforests of Java, Indonesia"
Anoa,"A species of buffalo found on the islands of Sulawesi and Buton in Indonesia"
Banteng,"A species of wild cattle found in the grasslands and forests of Southeast Asia, including parts of Indonesia"
Siamang,"A type of gibbon found in the rainforests of Sumatra and Malaysia"
Dhole,"A pack-hunting carnivorous mammal found in Central and South Asia, as well as parts of Indonesia"
Javan lutung,"A type of primate found in the rainforests of Java and Bali, also known as the Javan langur"
Sunda colugo,"A nocturnal arboreal mammal found in the rainforests of Southeast Asia, including parts of Indonesia"
Bactrian camel,"A type of camel found in the deserts and steppes of Central Asia, introduced to parts of Indonesia in the 19th century"
Gaur,"A large wild cattle species found in the grasslands and forests of South and Southeast Asia, including parts of Indonesia"
Javan muntjac,"A species of deer found in the forests of Java and Bali, Indonesia"
Sambar deer,"A species of deer found in the forests of Southeast and South Asia, including parts of Indonesia"
Asian golden cat,"A small wild cat found in the forests of Central and Southeast Asia, including parts of Indonesia"
