Nasi goreng,"A popular Indonesian rice dish made with fried rice, vegetables, and protein, often served with a fried egg and chili sauce on top"
Gado gado,"An Indonesian salad made with boiled vegetables and rice, served with a peanut sauce dressing"
Satay,"Skewers of marinated meat, grilled and served with a spicy peanut sauce"
Bakso,"Indonesian meatball soup, often made with beef or chicken and served with noodles and vegetables"
Mie goreng,"A type of fried noodle dish popular in Indonesia, made with thin egg noodles, vegetables, and protein"
Rendang,"A spicy meat dish, typically made with beef and cooked in coconut milk and a mixture of ground spices"
Sate,"Grilled meat skewers, often served with a spicy peanut sauce and rice cakes"
Oxtail soup,"A rich and flavorful soup made with oxtail, vegetables, and spices, popular in Indonesia and other Southeast Asian countries"
Nasi kuning,"A type of yellow rice often flavored with turmeric and coconut milk, served with various side dishes"
Nasi campur,"A mixed rice dish with a variety of side dishes, including meat, vegetables, and eggs"
Soto,"A type of Indonesian soup made with meat and vegetables, often served with noodles"
Ayam goreng,"Fried chicken, a popular dish in Indonesia and many other countries"
Tempeh,"A protein-rich food made from fermented soybeans, popular in Indonesian cuisine"
Tahu,"Fried tofu, a popular protein source in Indonesian and many other Asian cuisines"
Martabak,"A type of sweet or savory pastry made with thin layers of dough, popular in Indonesia and other parts of Southeast Asia"
Kue lapis,"A type of multi-layered Indonesian cake, made with a variety of ingredients including coconut and spices"
Kue putu,A type of Indonesian steamed cake made with rice flour and coconut milk
Kue cubit,"A small, deep-fried Indonesian pastry filled with a variety of sweet or savory fillings"
Kue pukis,"A type of small, round Indonesian cake made with flour, coconut milk, and a variety of fillings"
Kue nastar,"A type of Indonesian cookie filled with a pineapple jam filling, often served during holidays"
